Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1282,1,1,19,77,10,0.00634765625,-0.0126953125,1.01220703125,0.0,0.3662109375,0.0,8.828405372405157,-0.25489621489629144,-0.9056312576317396,1687593787.9398878
1283,1,1,19,87,10,0.00634765625,-0.0146484375,0.9970703125,0.0,0.18310546875,-0.244140625,4.330236874236661,1.2444932844932168,-2.405020757021248,1687593787.9418886
1284,1,1,19,97,10,0.00537109375,0.001953125,0.99560546875,0.0,0.0,-0.244140625,-3.1667106227108377,-16.74818070818077,-2.405020757021248,1687593787.9428873
1285,1,1,19,107,10,0.00830078125,-0.009765625,0.9912109375,0.0,-0.06103515625,0.0,-0.16793162393184247,-1.7542857142857997,0.5937582417577119,1687593787.9558876
1286,1,1,19,117,10,0.0009765625,-0.01318359375,0.9814453125,-0.06103515625,0.0,-0.06103515625,5.829626373626155,-4.753064713064759,3.5925372405367284,1687593787.9628878
1287,1,1,19,127,10,0.01025390625,-0.00048828125,0.986328125,-0.06103515625,-0.244140625,-0.06103515625,-3.1667106227108377,-1.7542857142857997,11.089484737484213,1687593787.9768891
1288,1,1,19,137,10,0.001953125,-0.01318359375,0.9833984375,-0.06103515625,0.0,-0.1220703125,-6.16548962148984,-1.7542857142857997,-5.403799755800264,1687593787.9778895
1289,1,1,19,147,10,0.00439453125,-0.0126953125,0.978515625,-0.18310546875,-0.1220703125,0.0,5.829626373626155,-0.25489621489629144,-6.903189255189773,1687593788.002889
1290,1,1,19,157,10,-0.00341796875,-0.01708984375,0.984375,0.0,-0.30517578125,0.18310546875,7.329015873015656,-13.749401709401809,0.5937582417577119,1687593788.0038884
1291,1,1,19,167,10,-0.0009765625,-0.0087890625,0.98876953125,-0.244140625,-0.06103515625,0.06103515625,7.329015873015656,8.741440781440701,-2.405020757021248,1687593788.016889
1292,1,1,19,177,10,0.005859375,-0.01123046875,1.00244140625,0.0,0.1220703125,0.0,2.83084737484716,2.743882783882725,-0.9056312576317396,1687593788.0338874
1293,1,1,19,187,10,-0.00537109375,-0.00732421875,1.0009765625,0.0,0.30517578125,0.18310546875,-3.1667106227108377,11.740219780219718,-2.405020757021248,1687593788.034889
1294,1,1,19,197,10,0.00048828125,-0.0048828125,1.02783203125,0.0,0.0,0.0,-1.6673211233213436,-4.753064713064759,3.5925372405367284,1687593788.055888
1295,1,1,19,207,10,0.00927734375,-0.00927734375,0.9970703125,0.1220703125,0.06103515625,0.1220703125,-1.6673211233213436,-4.753064713064759,9.590095238094705,1687593788.056894
